"codice isil";"denominazione biblioteca";"tipologia funzionale";"denominazione ente";"tipologia amministrativa"
"IT-RM1033";"Biblioteca di area delle arti. Sezione Storia dell'arte ""Luigi Grassi"". Università degli studi Roma Tre";"Istituto di insegnamento superiore";"Università degli studi di Roma Tre. Dipartimento di studi storico artistici, archeologici e sulla conservazione";"Universita' statali"
"IT-RM1038";"Biblioteca del Dipartimento di Architettura e progetto - Sapienza Università di Roma";"Istituto di insegnamento superiore";"Università degli studi di Roma La Sapienza";"Universita' statali"
"IT-RM1039";"Biblioteca di Ingegneria civile. Sede Architettura - Sapienza Università di Roma";"Istituto di insegnamento superiore";"Università degli studi di Roma La Sapienza. Dipartimento di ingegneria strutturale e geotecnica";"Universita' statali"
"IT-RM1040";"Biblioteca del Dipartimento di Storia disegno e restauro dell'architettura - Sapienza Università di Roma";"Istituto di insegnamento superiore";"Sapienza Università di Roma - Dipartimento Storia Disegno e Restauro";"Universita' statali"
"IT-RM1042";"Biblioteca del Dipartimento di Pianificazione, design, tecnologia dell'architettura Ludovico Quaroni - Sapienza Università di Roma";"Istituto di insegnamento superiore";"Università degli studi di Roma La Sapienza. Dipartimento di Pianificazione, Design, Tecnologia dell'Architettura";"Universita' statali"
"IT-RM1043";"Biblioteca dell'Istituto di fisiologia generale della Facoltà di farmacia dell'Università degli studi di Roma La Sapienza";"Istituto di insegnamento superiore";"Università degli studi di Roma La Sapienza. Facoltà di farmacia. Istituto di fisiologia generale";"Universita' statali"
"IT-RM1044";"Biblioteca di Area scientifico-tecnologica dell'Università degli studi di Roma Tor Vergata";"Istituto di insegnamento superiore";"Università degli studi di Roma Tor Vergata. Area scientifico tecnologica";"Universita' statali"
"IT-RM1045";"Biblioteca della Facoltà di Medicina e psicologia Ernesto Valentini - Sapienza Università di Roma";"Istituto di insegnamento superiore";"Facoltà di medicina e Psicologia - Università degli studi di Roma La Sapienza";"Universita' statali"
"IT-RM1048";"Biblioteca del Dipartimento di Ingegneria astronautica, elettrica ed energetica. Sede Astronautica - Sapienza Università di Roma";"Istituto di insegnamento superiore";"Università degli studi di Roma La Sapienza. Dipartimento di Ingegneria Astronautica, Elettrica ed Energetica";"Universita' statali"
"IT-RM1057";"Biblioteca di Area biomedica ""Paolo M. Fasella"" dell'Università degli studi di Roma Tor Vergata";"Istituto di insegnamento superiore";"Università degli studi di Roma Tor Vergata. Area biomedica";"Universita' statali"
"IT-RM1059";"Biblioteca dell'Area letteraria storico filosofica dell'Università degli studi Roma Tor Vergata";"Istituto di insegnamento superiore";"Università degli studi di Roma Tor Vergata. Area letteraria storico filosofica";"Universita' statali"
"IT-RM1060";"Biblioteca di Area giuridica dell'Università degli studi di Roma Tor Vergata";"Istituto di insegnamento superiore";"Università degli studi di Roma Tor Vergata. Area giuridica";"Universita' statali"
"IT-RM1062";"Biblioteca del Dipartimento di Scienze sociali ed economiche. Sede Sociologia - Sapienza Università di Roma";"Istituto di insegnamento superiore";"Università degli studi di Roma La Sapienza. Dipartimento di contabilità nazionale e analisi dei processi sociali";"Universita' statali"
"IT-RM1072";"Biblioteca interdipartimentale di Medicina - Sapienza Università di Roma";"Istituto di insegnamento superiore";"Università degli studi di Roma La Sapienza. Dipartimento di scienze psichiatriche e medicina psicologica";"Universita' statali"
"IT-RM1074";"Biblioteca - LUISS Libera Università Internazionale degli Studi Sociali Guido Carli";"Istituto di insegnamento superiore";"LUISS Libera Università Internazionale degli Studi Sociali Guido Carli";"Universita' non statali"
"IT-RM1076";"Biblioteca Agostino Gemelli dell'Università cattolica del Sacro Cuore. Sede di Roma";"Istituto di insegnamento superiore";"Università cattolica del Sacro Cuore. Facoltà di medicina e chirurgia Agostino Gemelli";"Universita' non statali"
"IT-RM1077";"Biblioteca comunale di Colleferro Riccardo Morandi";"Pubblica";"Comune di Colleferro";"Comune"
"IT-RM1078";"Biblioteca comunale 'Carlo Levi' di Genzano di Roma";"Pubblica";"Comune di Genzano di Roma";"Comune"
"IT-RM1080";"Biblioteca INAIL DC Ricerca Uff. III";"Specializzata";"Istituto superiore per la prevenzione e sicurezza del lavoro";"Aziende ed amministrazioni dello stato ad ordinamento autonomo"
"IT-RM1083";"Biblioteca comunale";"Pubblica";"Comune di Castel Madama";"Comune"
"IT-RM1087";"Biblioteca ENEA del Centro Ricerche Frascati";"Specializzata";"Ente per le nuove tecnologie l'energia e l'ambienteNEA. Centro ricerche energia Frascati";"Aziende ed amministrazioni dello stato ad ordinamento autonomo"
"IT-RM1090";"Biblioteca della Fondazione Giovanni Pierluigi da Palestrina";"Specializzata";"Fondazione Giovanni Pierluigi da Palestrina";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-RM1093";"Biblioteca dell'Associazione archeologica Centumcellae";"Specializzata";"Associazione archeologica Centumcellae";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-RM1094";"Biblioteca Invalsi 'Aldo Visalberghi'";"Specializzata";"Istituto nazionale per la valutazione del sistema istruzione";"Aziende ed amministrazioni dello stato ad ordinamento autonomo"
"IT-RM1096";"Biblioteca dell'ESRIN";"Specializzata";"European Space Agency. ESRIN";"Organizzazioni internazionali"
"IT-RM1098";"Biblioteca dell'Istituto di ricerca Cesare Serono";"Specializzata";"Istituto di ricerca Cesare Serono";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-RM1099";"Biblioteca comunale";"Pubblica";"Comune di Monte Porzio Catone";"Comune"
"IT-RM1104";"Biblioteca comunale di Genazzano";"Pubblica";"Comune di Genazzano";"Comune"
"IT-RM1105";"Biblioteca comunale “Giuseppe Caiati”";"Pubblica";"Comune di Valmontone";"Comune"
"IT-RM1107";"Biblioteca comunale di Cerveteri 'Nilde Iotti'";"Pubblica";"Comune di Cerveteri";"Comune"
"IT-RM1110";"Biblioteca comunale centrale";"Pubblica";"Comune di Guidonia Montecelio";"Comune"
"IT-RM1111";"Biblioteca comunale. Sezione Setteville";"Pubblica";"Comune di Guidonia Montecelio";"Comune"
"IT-RM1112";"Biblioteca comunale. Sezione Villalba";"Pubblica";"Comune di Guidonia Montecelio";"Comune"
"IT-RM1115";"Biblioteca comunale Peppino Impastato";"Pubblica";"Comune di Ladispoli";"Comune"
"IT-RM1116";"Biblioteca comunale ""Carlo Magno""";"Pubblica";"Comune di Mentana";"Comune"
"IT-RM1119";"Biblioteca comunale di Cecchina sezione di Albano Laziale";"Pubblica";"Comune di Albano Laziale";"Comune"
"IT-RM1120";"Biblioteca comunale. Sezione Pavona";"Pubblica";"Comune di Albano Laziale";"Comune"
"IT-RM1121";"Biblioteca comunale Angela Zucconi";"Pubblica";"Comune di Anguillara Sabazia";"Comune"
"IT-RM1122";"Biblioteca comunale ""Bartolomea Orsini""";"Pubblica";"Comune di Bracciano";"Comune"
"IT-RM1129";"Biblioteca comunale";"Pubblica";"Comune di Trevignano Romano";"Comune"
"IT-RM1136";"Biblioteca del Museo Nazionale Etrusco di Villa Giulia";"Specializzata";"Ministero della Cultura. Soprintendenza per i beni archeologici per l'Etruria meridionale";"Direzione generale archeologia, belle arti e paesaggio"
"IT-RM1137";"Biblioteca del Dipartimento del Tesoro - Ministero Economia e Finanze";"Specializzata";"Ministero dell'economia e delle finanze. Servizio dipartimentale per gli affari generali il personale e la qualità dei processi e dell'organizzazione";"Presidenza del consiglio dei ministri e ministeri"
"IT-RM1138";"Biblioteca della Soprintendenza Archeologia, belle arti e paesaggio per le province di Frosinone, Latina e Rieti";"Specializzata";"Ministero della Cultura. Soprintendenza Archeologia, belle arti e paesaggio per le province di Frosinone, Latina e Rieti";"Direzione generale archeologia, belle arti e paesaggio"
"IT-RM1140";"Biblioteca della Scuola popolare di musica di Testaccio";"Specializzata";"Scuola popolare di musica di Testaccio";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-RM1144";"Biblioteca del Museo della civiltà romana";"Specializzata";"Comune di Roma. Sovraintendenza ai Beni Culturali";"Comune"
"IT-RM1145";"Biblioteca comunale Valle Aurelia";"Pubblica";"Roma Capitale - Istituzione Biblioteche Centri Culturali";"Città metropolitana"
"IT-RM1147";"Biblioteca di archeologia e storia dell'arte della Sovrintendenza ai beni culturali del Comune di Roma";"Specializzata";"Comune di Roma. Sovrintendenza ai Beni Culturali";"Comune"
"IT-RM1149";"Biblioteca comunale Gianni Rodari";"Pubblica";"Roma Capitale - Istituzione Biblioteche Centri Culturali";"Città metropolitana"
"IT-RM1150";"Biblioteca del Museo di Roma in Trastevere";"Specializzata";"Comune di Roma. Sovraintendenza ai Beni Culturali";"Comune"
"IT-RM1151";"Biblioteca del Museo Napoleonico";"Specializzata";"Comune di Roma. Sovraintendenza ai Beni Culturali";"Comune"
"IT-RM1152";"Biblioteca del Museo di Roma";"Specializzata";"Comune di Roma. Sovraintendenza ai Beni Culturali";"Comune"
"IT-RM1154";"Biblioteca del museo Barracco";"Specializzata";"Comune di Roma. Sovraintendenza ai Beni Culturali";"Comune"
"IT-RM1158";"Biblioteca del Dipartimento di Fisica - Sapienza Università di Roma";"Istituto di insegnamento superiore";"Università degli studi di Roma La Sapienza. Dipartimento di fisica";"Universita' statali"
"IT-RM1159";"Biblioteca dell'Istituto storico germanico. Sezione storia della musica";"Specializzata";"Deutsches Historisches Institut in Rom";"Istituzioni straniere"
"IT-RM1160";"Biblioteca della Temple University";"Specializzata";"Temple University";"Istituzioni straniere"
"IT-RM1161";"Biblioteca della Soprintendenza Archeologia, belle arti e paesaggio per l'area metropolitana di Roma, la provincia di Viterbo e l'Etruria meridionale";"Specializzata";"Ministero della Cultura. Soprintendenza Archeologia, belle arti e paesaggio per l'area metropolitana di Roma, la provincia di Viterbo e l'Etruria meridionale";"Direzione generale archeologia, belle arti e paesaggio"
"IT-RM1162";"Biblioteca delle Arti della Direzione Generale Archeologia, belle arti e paesaggio";"Specializzata";"Ministero della Cultura. Direzione Generale Archeologia, belle arti e paesaggio";"Direzione generale archeologia, belle arti e paesaggio"
"IT-RM1164";"Biblioteca Luca Pacioli";"Specializzata";"Ministero dell'economia e delle finanze.";"Presidenza del consiglio dei ministri e ministeri"
"IT-RM1166";"Biblioteca del Ministero dell'ambiente e della sicurezza energetica";"Specializzata";"Ministero dell'ambiente e della tutela del territorio";"Presidenza del consiglio dei ministri e ministeri"
"IT-RM1168";"Biblioteca della Fondazione Centro di Iniziativa Giuridica Piero Calamandrei e.t.s.";"Specializzata";"Centro di iniziativa giuridica Piero Calamandrei";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-RM1171";"Biblioteca comunale";"Pubblica";"Comune di Bellegra";"Comune"
"IT-RM1176";"Biblioteca centrale della Facoltà di Ingegneria Giovanni Boaga - Sapienza Università di Roma";"Istituto di insegnamento superiore";"Università degli studi di Roma La Sapienza. Facoltà di ingegneria";"Universita' statali"
"IT-RM1179";"Biblioteca del Centro ricerche UNICEM";"Specializzata";"UNICEM SpA";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-RM1184";"Biblioteca nazionale ACLI";"Specializzata";"Associazione cristiana dei lavoratori italiani";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-RM1185";"Biblioteca Archivio arte contemporanea Crispolti";"Specializzata";"Associazione culturale archivio arte contemporanea Crispolti";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-RM1186";"Biblioteca del Dipartimento di Matematica Guido Castelnuovo - Sapienza Università di Roma";"Istituto di insegnamento superiore";"Università degli studi di Roma La Sapienza. Dipartimento di matematica Guido Castelnuovo";"Universita' statali"
"IT-RM1188";"Biblioteca del Dipartimento di Biologia ambientale - Sapienza Università di Roma";"Istituto di insegnamento superiore";"Università degli studi di Roma La Sapienza";"Universita' statali"
"IT-RM1189";"Biblioteca della Fondazione Ugo Spirito e Renzo De Felice";"Specializzata";"Fondazione Ugo Spirito e Renzo De Felice";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-RM1190";"Biblioteca del Consiglio nazionale del notariato";"Specializzata";"Consiglio nazionale del notariato";"Aziende ed amministrazioni dello stato ad ordinamento autonomo"
"IT-RM1193";"Biblioteca del Museo nazionale delle paste alimentari";"Specializzata";"Fondazione Vincenzo Agnesi";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-RM1194";"Biblioteca d'Area di ingegneria dell'Università degli studi di Roma Tor Vergata";"Istituto di insegnamento superiore";"Università degli studi di Roma Tor Vergata. Facoltà di ingegneria";"Universita' statali"
"IT-RM1195";"Biblioteca ""Fiamma Lanzara"" dell'Accademia di costume e moda";"Istituto di insegnamento superiore";"Accademia di costume e moda";"Universita' non statali"
"IT-RM1197";"Biblioteca di Area economica ""Vilfredo Pareto"" dell'Università degli studi di Roma ""Tor Vergata""";"Istituto di insegnamento superiore";"Università degli studi di Roma Tor Vergata. Area giuridica";"Universita' statali"
"IT-RM1198";"Biblioteca dell'Istituto storico domenicano";"Specializzata";"Domenicani. Istituto storico domenicano";"Enti ecclesiastici"
"IT-RM1199";"Biblioteca del Centro ricerca e documentazione arti visive - CRDAV";"Specializzata";"Comune di Roma. Sovraintendenza Capitolina ai Beni Culturali";"Comune"
"IT-RM1200";"Biblioteca d'Arte Sacra 'Beato Angelico'";"Specializzata";"Provincia Roma di Santa Caterina da Siena - Ordine dei Frati Predicatori (Domenicani)";"Enti ecclesiastici"
"IT-RM1201";"Biblioteca Centro Studi Guanelliani";"Specializzata";"Servi della Carità - Opera Don Guanella";"Enti ecclesiastici"
"IT-RM1202";"Biblioteca del Museo Civico di Zoologia";"Specializzata";"Comune di Roma. Museo civico di zoologia";"Comune"
"IT-RM1205";"Biblioteca del Parco archeologico di Ostia Antica";"Specializzata";"Ministero della Cultura. Parco archeologico di Ostia Antica";"Direzione generale Musei"
"IT-RM1208";"Biblioteca di studi sul federalismo europeo Altiero Spinelli";"Specializzata";"Consiglio italiano del movimento europeo";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-RM1209";"Biblioteca dell'Associazione italiana persone Down";"Specializzata";"Associazione italiana persone Down";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-RM1213";"Biblioteca del Convento dei padri cappuccini";"Specializzata";"Frati minori cappuccini. Convento di Albano Laziale";"Enti ecclesiastici"
"IT-RM1215";"Biblioteca del Convento dei padri cappuccini";"Specializzata";"Frati minori cappuccini. Convento di Monterotondo";"Enti ecclesiastici"
"IT-RM1216";"Biblioteca dell'Istituto sperimentale per la meccanizzazione agricola";"Specializzata";"Istituto sperimentale per la meccanizzazione agricola";"Aziende ed amministrazioni dello stato ad ordinamento autonomo"
"IT-RM1218";"Biblioteca comunale Ugo Tognazzi";"Pubblica";"Comune di Pomezia";"Comune"
"IT-RM1219";"Biblioteca comunale Paolo Angelani";"Pubblica";"Comune di Monterotondo";"Comune"
"IT-RM1225";"Biblioteca dell'Istituto Centrale per la Patologia degli Archivi e del Libro - ICPAL";"Specializzata";"Ministero della Cultura. Istituto centrale per il restauro e la conservazione del patrimonio archivistico e librario";"Istituti centrali"
"IT-RM1229";"Biblioteca di area di scienze economiche ""Pierangelo Garegnani"". Università degli studi Roma Tre";"Istituto di insegnamento superiore";"Università degli studi di Roma Tre. Area economica";"Universita' statali"
"IT-RM1230";"Biblioteca di area scientifica - Biblioteca di area tecnologica. Sede Centrale. Università degli studi Roma Tre";"Istituto di insegnamento superiore";"Università degli studi di Roma Tre. Area scientifico tecnologica";"Universita' statali"
"IT-RM1233";"Biblioteca Istituzionale della Città Metropolitana di Roma Capitale ""Villa Altieri""";"Di conservazione";"Provincia di Roma";"Provincia"
"IT-RM1234";"Biblioteca della Escuela española de historia y arqueologia";"Specializzata";"Escuela española de historia y arqueologia en Roma";"Istituzioni straniere"
"IT-RM1239";"Biblioteca della Fondazione Giuseppe Di Vittorio";"Specializzata";"Fondazione Giuseppe Di Vittorio";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-RM1241";"Biblioteca della Fondazione Luigi Einaudi ETS, per studi di politica, economia e storia";"Specializzata";"Fondazione Luigi Einaudi ETS, per studi di politica, economia e storia";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-RM1242";"Biblioteca del Centro studi di politica internazionale";"Specializzata";"Centro studi di politica internazionale";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-RM1243";"Biblioteca dell'Istituto per la storia dell'Azione cattolica e del movimento cattolico in Italia Paolo VI";"Specializzata";"Fondazione Istituto per la storia dell'Azione cattolica e del movimento cattolico in Italia Paolo VI";"Enti ecclesiastici"
"IT-RM1244";"Biblioteca di Chimica e biochimica Gabriello Illuminati - Sapienza Università di Roma";"Istituto di insegnamento superiore";"Università degli studi di Roma La Sapienza. Dipartimento di chimica";"Universita' statali"
"IT-RM1248";"Biblioteca della Fondazione Pietro Nenni";"Specializzata";"Fondazione Pietro Nenni";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-RM1250";"Biblioteca di Ingegneria civile - Sapienza Università di Roma";"Istituto di insegnamento superiore";"Dipartimento ingegneria civile, edile, ambientale. Università La Sapienza";"Universita' statali"
"IT-RM1251";"Biblioteca della Fondazione Giuseppe Emanuele e Vera Modigliani";"Specializzata";"Fondazione Giuseppe Emanuele e Vera Modigliani - ESSMOI";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-RM1258";"Biblioteca comunale Tullio De Mauro";"Pubblica";"Roma Capitale - Istituzione Biblioteche Centri Culturali";"Città metropolitana"
"IT-RM1261";"Biblioteca della Pontificia Facoltà di scienze dell'educazione Auxilium";"Specializzata";"Figlie di Maria Ausiliatrice. Pontificia Facoltà di scienze dell'educazione Auxilium";"Enti ecclesiastici"
"IT-RM1264";"Biblioteca del Museo storico dei bersaglieri";"Specializzata";"Ministero della difesa. Museo storico dei bersaglieri";"Presidenza del consiglio dei ministri e ministeri"
"IT-RM1266";"Biblioteca Luigia Tincani";"Di conservazione";"Unione Santa Caterina da Siena delle Missionarie della Scuola";"Enti ecclesiastici"
"IT-RM1267";"Biblioteca del Museo storico della fanteria";"Specializzata";"Ministero della difesa. Museo storico della fanteria";"Presidenza del consiglio dei ministri e ministeri"
"IT-RM1274";"Biblioteca Riccardo Lombardi della Scuola superiore dell'amministrazione dell'interno";"Specializzata";"Ministero dell'interno. Scuola superiore dell'amministrazione dell'interno";"Presidenza del consiglio dei ministri e ministeri"
"IT-RM1275";"Biblioteca del Centro studi impianti sportivi";"Specializzata";"Comitato olimpico nazionale italiano";"Aziende ed amministrazioni dello stato ad ordinamento autonomo"
"IT-RM1276";"Biblioteca ecumenica del Centro Pro Unione";"Specializzata";"Francescani dell'Atonement.";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-RM1279";"Biblioteca di area delle arti. Sezione Architettura ""Enrico Mattiello"". Università degli studi Roma Tre";"Istituto di insegnamento superiore";"Università degli studi di Roma Tre. Area di architettura";"Universita' statali"
"IT-RM1281";"Biblioteca di Ricerca sociale, informatica e comunicazione. Sede Informatica - Sapienza Università di Roma";"Istituto di insegnamento superiore";"Università degli studi di Roma La Sapienza. Dipartimento di scienze dell'informazione";"Universita' statali"
"IT-RM1283";"Biblioteca dell'Archivio Disarmo";"Specializzata";"IRIAD - Istituto di Ricerche Internazionali Archivio Disarmo";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-RM1288";"Biblioteca della Curia generalizia dei marianisti";"Specializzata";"Marianisti. Curia generalizia";"Enti ecclesiastici"
"IT-RM1291";"Biblioteca della Federazione italiana delle casse rurali ed artigiane Franco Caleffi";"Specializzata";"Federazione italiana delle casse rurali ed artigiane";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-RM1294";"Biblioteca del Museo civico ""Mario Antonacci""";"Pubblica";"Comune di Albano";"Comune"
"IT-RM1295";"Biblioteca ""Gen.C.A. Michele Mola"" della Scuola di Polizia Economico-Finanziaria - Guardia di Finanza";"Specializzata";"Ministero dell'Economia e delle Finanze. Scuola di Polizia Economico-Finanziaria - Guardia di Finanza";"Presidenza del consiglio dei ministri e ministeri"
"IT-RM1297";"Biblioteca comunale Cesare De Sanctis - Sede Centrale";"Pubblica";"Comune di Albano Laziale";"Comune"
"IT-RM1298";"Centro documentazione interculturale del Centro informazione e educazione allo sviluppo - CIES";"Specializzata";"Centro di informazione ed educazione allo sviluppo - CIES";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-RM1299";"Biblioteca Area Territoriale della Ricerca di Roma 1 - Montelibretti, Consiglio Nazionale delle Ricerche - BcA.ATdr.Rm1.Mlib";"Specializzata";"Consiglio nazionale delle ricerche - CNR";"Aziende ed amministrazioni dello stato ad ordinamento autonomo"
"IT-RM1301";"Biblioteca María Zambrano - Instituto Cervantes di Roma";"Specializzata";"Instituto Cervantes";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-RM1303";"Biblioteca del Consiglio superiore della magistratura";"Specializzata";"Consiglio superiore della magistratura";"Organi costituzionali"
"IT-RM1304";"Biblioteca dell'Istituto Teologico Don Orione";"Specializzata";"Piccola Opera della Divina Provvidenza";"Enti ecclesiastici"
"IT-RM1305";"Biblioteca The American University of Rome";"Specializzata";"American University";"Istituzioni straniere"
"IT-RM1306";"Biblioteca privata e Archivio Doria Pamphili";"Specializzata";"Archivio Doria Pamphili";"Privati - Famiglie"
"IT-RM1307";"Biblioteca del Centro elettronico di documentazione della Corte di Cassazione";"Specializzata";"Corte suprema di cassazione";"Organi costituzionali"
"IT-RM1308";"Biblioteca affari regionali della Presidenza del consiglio dei ministri";"Specializzata";"Presidenza del consiglio dei ministri. Dipartimento per la funzione pubblica e per gli affari regionali";"Presidenza del consiglio dei ministri e ministeri"
"IT-RM1309";"Biblioteca provinciale San Francesco a Ripa";"Di conservazione";"Provincia di S. Bonaventura dei Frati Minori";"Enti ecclesiastici"
"IT-RM1310";"Biblioteca della Curia generalizia del fatebenefratelli";"Specializzata";"Fatebenefratelli. Curia generalizia";"Enti ecclesiastici"
"IT-RM1311";"Biblioteca Centro di documentazione dell'Istituto nazionale confederale di assistenza";"Specializzata";"Confederazione generale italiana del lavoro. Istituto nazionale confederale di assistenza";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-RM1312";"Biblioteca degli Archivi delle arti applicate italiane del XX secolo";"Specializzata";"Associazione archivi delle arti applicate italiane del XX secolo";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-RM1313";"Biblioteca Centro di documentazione dell'associazione italiana donne per lo sviluppo";"Specializzata";"Associazione italiana donne per lo sviluppo";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-RM1314";"Biblioteca dell'Ospedale S. Giovanni Calibita";"Specializzata";"Fatebenefratelli. Ospedale S. Giovanni Calibita";"Enti ecclesiastici"
"IT-RM1316";"Biblioteca e Archivio musicale dell'Accademia nazionale di S. Cecilia";"Specializzata";"Accademia nazionale di Santa Cecilia";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-RM1320";"Biblioteca del Convento di S. Francesco";"Specializzata";"Frati minori OFM. Convento S. Francesco";"Enti ecclesiastici"
"IT-RM1322";"BIBLIOTECA DELLA GALLERIA D'ARTE MODERNA";"Specializzata";"Comune di Roma - Istituzione Biblioteche di Roma";"Comune"
"IT-RM1324";"Biblioteca dell'Avvocatura del Comune di Roma";"Specializzata";"Comune di Roma - Istituzione Biblioteche di Roma";"Comune"
"IT-RM1326";"Biblioteca dell'Ente italiano di servizio sociale";"Pubblica";"Ente italiano di servizio sociale";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-RM1328";"Biblioteca della Casa di Goethe";"Specializzata";"Associazione tedesca degli istituti di cultura autonomi";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-RM1330";"Biblioteca Borrominiana";"Di conservazione";"Trinitari. Comunità di S. Carlino";"Enti ecclesiastici"
"IT-RM1332";"Centro di documentazione del Centro di studi sulla cultura e l'immagine di Roma";"Specializzata";"Centro di studi sulla cultura e l'immagine di Roma";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-RM1337";"Biblioteca del Dipartimento di Scienze dell'antichità - Sapienza Università di Roma";"Istituto di insegnamento superiore";"Università degli studi di Roma La Sapienza. Dipartimento di scienzedell'antichità";"Universita' statali"
"IT-RM1338";"Biblioteca del Dipartimento di Biologia e biotecnologie Charles Darwin - Sapienza Università di Roma";"Istituto di insegnamento superiore";"Università degli studi di Roma La Sapienza. Dipartimento di Biologia e Biotecnologie Charles Darwin";"Universita' statali"
"IT-RM1339";"Biblioteca di Ingegneria civile. Sede Ingegneria strutturale - Sapienza Università di Roma";"Istituto di insegnamento superiore";"Università degli studi di Roma La Sapienza. Dipartimento di ingegneria strutturale e geotecnica";"Universita' statali"
"IT-RM1340";"Biblioteca del Dipartimento di Ingegneria meccanica e aerospaziale - Sapienza Università di Roma";"Istituto di insegnamento superiore";"Università degli studi di Roma La Sapienza. Dipartimento Ingegneria Meccanica e Aerospaziale";"Universita' statali"
"IT-RM1342";"Biblioteca della Scuola di formazione del personale dell'Amministrazione giudiziaria del Ministero della giustizia";"Specializzata";"Ministero della giustizia";"Presidenza del consiglio dei ministri e ministeri"
"IT-RM1352";"Biblioteca Archivio della Congregazione dell'Oratorio";"Di conservazione";"Filippini. Congregazione dell'Oratorio di San Filippo Neri di Roma";"Enti ecclesiastici"
"IT-RM1359";"Biblioteca della Curia generalizia dei Padri Domenicani di S. Sabina";"Specializzata";"Curia generalizia dei Padri Domenicani di S. Sabina";"Enti ecclesiastici"
"IT-RM1365";"Biblioteca del Liceo ginnasio statale Ennio Quirino Visconti";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca. Liceo ginnasio statale Ennio Quirino Visconti";"Presidenza del consiglio dei ministri e ministeri"
"IT-RM1369";"Biblioteca dell'Associazione musicale Orphée";"Specializzata";"Associazione musicale Orphée";"Consorzio e/o associazioni di regioni, province, comuni e comunità montane"
"IT-RM1370";"Biblioteca del Dipartimento di Ingegneria astronautica, elettrica ed energetica. Sede Ingegneria nucleare - Sapienza Università di Roma";"Istituto di insegnamento superiore";"Università degli studi di Roma La Sapienza. Dipartimento di Ingegneria Astronautica, Elettrica ed Energetica";"Universita' statali"
"IT-RM1373";"Biblioteca della Soprintendenza per i beni librari della Regione Lazio";"Specializzata";"Regione Lazio";"Regione"
"IT-RM1376";"Biblioteca comunale Renato Nicolini";"Pubblica";"Roma Capitale - Istituzione Biblioteche Centri Culturali";"Città metropolitana"
"IT-RM1377";"Biblioteca delle Arti Applicate";"Specializzata";"Comune di Roma - Sovraintendenza ai Beni Culturali - Museo Casina delle Civette";"Comune"
"IT-RM1378";"Biblioteca comunale Pier Paolo Pasolini";"Pubblica";"Comune di Ciampino";"Comune"
"IT-RM1379";"Biblioteca comunale ""Elsa Morante""";"Pubblica";"Comune di Colonna";"Comune"
"IT-RM1381";"Biblioteca comunale Dott. Massimo Adabbo";"Pubblica";"Comune di San Cesareo";"Comune"
"IT-RM1382";"Biblioteca comunale Monsignor Francesco Mirra";"Pubblica";"Comune di Capena";"Comune"
"IT-RM1383";"Biblioteca della Giunta regionale Altiero Spinelli";"Specializzata";"Regione Lazio";"Regione"
"IT-RM1384";"Biblioteca Vasqueziana del Convento di Santa Maria del Buon Consiglio di Genazzano";"Di conservazione";"Convento di Santa Maria del Buon Consiglio dell'Ordine di Sant'Agostino";"Enti ecclesiastici"
"IT-RM1385";"Biblioteca dell'Associazione Proloco di Marino";"Pubblica";"Associazione Proloco di Marino";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-RM1386";"Biblioteca Marguerite Chapin Caetani";"Specializzata";"Fondazione Camillo Caetani";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-RM1388";"Biblioteca comunale Giovanni Coletti";"Pubblica";"Comune di Zagarolo";"Comune"
