"codice isil";"denominazione biblioteca";"tipologia funzionale";"denominazione ente";"tipologia amministrativa"
"IT-BZ0277";"Biblioteca dell'Accademia di Studi Italo-Tedeschi - Akademie Deutsch-Italienischer Studien";"Specializzata";"Accademia di Studi Italo-Tedeschi - Akademie Deutsch-Italienischer Studien";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-BZ0278";"Biblioteca della Scuola Provinciale Superiore di Sanità Claudiana";"Pubblica";"Scuola Provinciale Superiore di Sanità";"Aziende ed amministrazioni dello stato ad ordinamento autonomo"
"IT-BZ0281";"Mediateca Multilingue di Merano";"Specializzata";"Provincia autonoma di Bolzano";"Provincia"
"IT-BZ0284";"Biblioteca universitaria. Sede di Brunico della Libera Università di Bolzano";"Istituto di insegnamento superiore";"Libera Università di Bolzano";"Universita' non statali"
"IT-BZ0285";"Biblioteca dell'Archivio storico della città di Bolzano / Bibliothek des Stadtarchives Bozen";"Specializzata";"Comune di Bolzano / Stadtgemeinde Bozen";"Comune"
"IT-BZ0286";"Biblioteca della Fondazione Rasmo-Zallinger / Bibliothek der Rasmo-Zallinger Stiftung";"Specializzata";"Comune di Bolzano / Stadtgemeinde Bozen";"Comune"
"IT-BZ0287";"Biblioteca pubblica di Marlengo";"Pubblica";"Comune di Marlengo";"Comune"
"IT-BZ0288";"Biblioteca pubblica Rio di Pusteria. Sezione staccata di Valles - Öffentliche Bibliothek Mühlbach. Leihstelle Vals";"Pubblica";"Comune di Rio di Pusteria - Gemeinde Mühlbach";"Comune"
"IT-BZ0289";"Biblioteca pubblica di Rodengo - Öffentliche Bibliothek Rodeneck";"Pubblica";"Comune di Rodengo";"Comune"
"IT-BZ0290";"Biblioteca scolastica dell’Istituto comprensivo Bolzano 6";"Scolastica";"Istituto comprensivo Bolzano 6";"Provincia"
"IT-BZ0291";"Biblioteca pubblica di Martello / Öffentliche Bibliothek Martell";"Pubblica";"Comune di Martello";"Comune"
"IT-BZ0292";"Biblioteca scolastica dell’Istituto comprensivo ""Bolzano 2 - Don Bosco""";"Scolastica";"Istituto comprensivo ""Bolzano 2 - Don Bosco""";"Provincia"
"IT-BZ0293";"Biblioteca dell’Istituto Comprensivo Bolzano V-Gries 1";"Scolastica";"Istituto Comprensivo Bolzano V-Gries 1";"Provincia"
"IT-BZ0294";"Biblioteca pubblica di Ultimo - Sede S. Valburga / Öffentliche Bibliothek Ulten - Hauptsitz St. Walburg";"Pubblica";"Comune di Ultimo";"Comune"
"IT-BZ0295";"Biblioteca pubblica di Ultimo – succursale S. Nicolò / Öffentliche Bibliothek Ulten - Zweigstelle St. Nikolaus";"Pubblica";"Comune di Ultimo";"Comune"
"IT-BZ0296";"Biblioteca scolastica";"Scolastica";"Istituto comprensivo in lingua italiana Bassa Atesina";"Provincia"
"IT-BZ0297";"Biblioteca pubblica di Anterivo / Öffentliche Bibliothek Altrei";"Pubblica";"Comune di Anterivo";"Comune"
"IT-BZ0298";"Biblioteca scolastica dell´Istituto Comprensivo Bolzano IV";"Scolastica";"Istituto Comprensivo Bolzano IV";"Provincia"
"IT-BZ0299";"Biblioteca Don Bosco. Punto di prestito di San Giacomo";"Pubblica";"Centro Don Bosco - Zentrum Don Bosco";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-BZ0300";"Biblioteca scolastica dell’Istituto Comprensivo Bolzano III Viale Trieste";"Scolastica";"Istituto Comprensivo Bolzano III Viale Trieste";"Provincia"
"IT-BZ0301";"ÖFFENTLICHE BIBLIOTHEK KURTATSCH - BIBLIOTECA PUBBLICA CORTACCIA";"Pubblica";"Comune di Cortaccia";"Comune"
"IT-BZ0302";"Biblioteca centro di sistema dell'Oltradige - Mittelpunktbibliothek Überetsch";"Pubblica";"Comune di Appiano";"Comune"
"IT-BZ0303";"Biblioteca pubblica di Naturno - Öffentliche Bibliothek Naturns";"Pubblica";"Comune di Naturno";"Comune"
"IT-BZ0304";"Biblioteca Pubblica Lauregno - Öffentliche Bibliothek Laurein";"Pubblica";"Comune di Lauregno";"Comune"
"IT-BZ0305";"Biblioteca pubblica di Tubre - Öffentliche Bibliothek Taufers im Münstertal";"Pubblica";"Comune di Tubre";"Comune"
"IT-BZ0306";"Biblioteca dell'Istituto Comprensivo Merano II";"Scolastica";"I. C. Merano II";"Provincia"
"IT-BZ0307";"Biblioteca pubblica di Chienes - Öffentliche Bibliothek Kiens";"Pubblica";"Comune di Chienes";"Comune"
"IT-BZ0308";"Biblioteca pubblica di Naz-Sciaves. Sezione staccata di Aica – Öffentliche Bibliothek Natz-Schabs. Zweigstelle Aicha";"Pubblica";"Comune di Naz-Sciaves";"Comune"
"IT-BZ0309";"Biblioteca pubblica di Chienes – succursale San Sigismondo - Öffentliche Bibliothek Kiens – Zweigstelle St. Sigmund";"Pubblica";"Comune di Chienes";"Comune"
"IT-BZ0310";"Biblioteca pubblica di Chienes – succursale Casteldarne - Öffentliche Bibliothek Kiens – Zweigstelle Ehrenburg";"Pubblica";"Comune di Chienes";"Comune"
"IT-BZ0312";"Biblioteca pubblica di Ponte Gardena";"Pubblica";"Comune di Ponte Gardena";"Comune"
"IT-BZ0313";"Biblioteca pubblica di Colle Isarco / Öffentliche Bibliothek Gossensaß";"Pubblica";"Comune di Brennero";"Comune"
"IT-BZ0314";"Biblioteca pubblica di Colle Isarco. Punto prestito di Fleres / Öffentliche Bibliothek Gossensaß mit Leihstelle Pflersch";"Pubblica";"Comune di Brennero";"Comune"
"IT-BZ0315";"Biblioteca Sas dla Crusc – sede di San Vigilio di Marebbe “Angelo Trebo”";"Pubblica";"Comune di Marebbe";"Comune"
"IT-BZ0316";"Biblioteca pubblica. Sezione staccata di Casateia – Öffentliche Bibliothek. Zweigstelle Gasteig";"Pubblica";"Comune di Racines";"Comune"
"IT-BZ0317";"Öffentliche Bibliothek Burgstall - Biblioteca pubblica di Postal";"Pubblica";"Comune di Postal";"Comune"
"IT-BZ0318";"Öffentliche Bibliothek Schnals";"Pubblica";"Comune di Senales";"Comune"
